subject,latitude,longitude
Public Works Department,42.3594,-71.0587
Public Works Department,42.2832,-71.0844
Transportation - Traffic Division,42.2841,-71.0843
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.2909,-71.0657
Public Works Department,42.3741,-71.0392
Transportation - Traffic Division,42.3184,-71.0563
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3078,-71.0671
Transportation - Traffic Division,42.3173,-71.0606
Transportation - Traffic Division,42.3884,-71.0025
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3577,-71.0701
Transportation - Traffic Division,42.3334,-71.0526
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3379,-71.0373
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3255,-71.0807
Animal Control,42.3513,-71.1250
Transportation - Traffic Division,42.3312,-71.0563
Public Works Department,42.3133,-71.0566
Public Works Department,42.3254,-71.1083
Public Works Department,42.2812,-71.1340
Inspectional Services,42.3848,-71.0179
Public Works Department,42.3801,-71.0663
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3788,-71.0643
Transportation - Traffic Division,42.2722,-71.0911
Public Works Department,42.3488,-71.0879
Transportation - Traffic Division,42.2844,-71.1315
Public Works Department,42.3671,-71.0351
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.2822,-71.1569
Transportation - Traffic Division,42.3594,-71.0587
Transportation - Traffic Division,42.3364,-71.0749
Public Works Department,42.2523,-71.1175
Public Works Department,42.3901,-71.0109
Public Works Department,42.2725,-71.0710
Public Works Department,42.2814,-71.0650
Public Works Department,42.3048,-71.0707
Public Works Department,42.3605,-71.0667
Inspectional Services,42.3104,-71.1127
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Inspectional Services,42.3325,-71.1108
Transportation - Traffic Division,42.2892,-71.0524
Public Works Department,42.2723,-71.0992
Public Works Department,42.2909,-71.1652
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3193,-71.0836
Mayor's 24 Hour Hotline,42.3323,-71.0661
Public Works Department,42.3425,-71.0561
Mayor's 24 Hour Hotline,42.3594,-71.0587
Public Works Department,42.3594,-71.0587
Public Works Department,42.3057,-71.0639
Public Works Department,42.3089,-71.0616
Public Works Department,42.3365,-71.0766
Public Works Department,42.3594,-71.0587
Public Works Department,42.3106,-71.0772
Public Works Department,42.3392,-71.0682
Public Works Department,42.3050,-71.0728
Mayor's 24 Hour Hotline,42.3377,-71.0745
Public Works Department,42.2872,-71.0508
Public Works Department,42.2871,-71.0940
Public Works Department,42.3650,-71.0524
Inspectional Services,42.3920,-71.0132
Public Works Department,42.3594,-71.0587
Public Works Department,42.3497,-71.0897
Transportation - Traffic Division,42.3576,-71.1299
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3747,-71.0371
Public Works Department,42.3594,-71.0587
Public Works Department,42.3772,-71.0331
Boston Police Department,42.3594,-71.0587
Transportation - Traffic Division,42.3319,-71.0439
Mayor's 24 Hour Hotline,42.3522,-71.1418
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3328,-71.0502
Public Works Department,42.3674,-71.0366
Public Works Department,42.3074,-71.0682
Public Works Department,42.2693,-71.1487
Public Works Department,42.2693,-71.1487
Transportation - Traffic Division,42.3425,-71.0975
Public Works Department,42.3594,-71.0652
Public Works Department,42.3805,-71.0699
Transportation - Traffic Division,42.3315,-71.0472
Transportation - Traffic Division,42.3594,-71.0587
Mayor's 24 Hour Hotline,42.3308,-71.0359
Public Works Department,42.3594,-71.0587
Inspectional Services,42.3629,-71.0529
Inspectional Services,42.3034,-71.1080
Public Works Department,42.3514,-71.1742
Inspectional Services,42.3564,-71.1534
Inspectional Services,42.3535,-71.0629
Property Management,42.3516,-71.0609
Inspectional Services,42.3377,-71.0709
Transportation - Traffic Division,42.3177,-71.0546
Public Works Department,42.3231,-71.0851
Transportation - Traffic Division,42.3469,-71.1708
Transportation - Traffic Division,42.3379,-71.0398
Public Works Department,42.3594,-71.0587
Mayor's 24 Hour Hotline,42.3405,-71.0775
Public Works Department,42.3812,-71.0643
Public Works Department,42.3594,-71.0587
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3544,-71.0447
Public Works Department,42.3057,-71.0684
Mayor's 24 Hour Hotline,42.3335,-71.0760
Inspectional Services,42.2833,-71.0708
Public Works Department,42.3511,-71.0870
Mayor's 24 Hour Hotline,42.3485,-71.0875
Public Works Department,42.3177,-71.0737
Public Works Department,42.2848,-71.0815
Public Works Department,42.3594,-71.0587
Transportation - Traffic Division,42.3152,-71.0775
Inspectional Services,42.3398,-71.1504
Transportation - Traffic Division,42.2864,-71.0437
Public Works Department,42.3594,-71.0587
Public Works Department,42.3791,-71.0390
Public Works Department,42.3594,-71.0704
Transportation - Traffic Division,42.3221,-71.0603
Transportation - Traffic Division,42.3750,-71.0643
Transportation - Traffic Division,42.2850,-71.0520
Public Works Department,42.3138,-71.0683
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3425,-71.0749
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3598,-71.0676
Transportation - Traffic Division,42.3372,-71.0493
Public Works Department,42.3460,-71.0896
Public Works Department,42.3435,-71.0889
Public Works Department,42.2809,-71.0791
Public Works Department,42.3860,-71.0053
Public Works Department,42.3523,-71.1220
Public Works Department,42.2830,-71.0570
Public Works Department,42.2820,-71.0721
Public Works Department,42.2869,-71.0746
Inspectional Services,42.3297,-71.0529
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3548,-71.1324
Parks & Recreation Department,42.3064,-71.1023
Public Works Department,42.3321,-71.0408
Property Management,42.3829,-71.0398
Transportation - Traffic Division,42.3594,-71.0587
Public Works Department,42.3587,-71.1271
Property Management,42.3594,-71.0587
Property Management,42.3594,-71.0587
Property Management,42.3594,-71.0587
Public Works Department,42.3232,-71.0737
Mayor's 24 Hour Hotline,42.3659,-71.0633
Public Works Department,42.3173,-71.0965
Public Works Department,42.2823,-71.0719
